noise_time,LASmax,phase,typecode,altitude,speed,flight_id,icao24,timestamp
2022-01-01 07:52:10+00:00,74.4,LANDUNG,E290,100.0,106.0,1034,4b028c,2022-01-01 07:51:57+00:00
2022-01-01 08:04:09+00:00,80.2,LANDUNG,A320,38000.0,427.0,870,4408d7,2022-01-01 08:04:09+00:00
2022-01-01 09:39:42+00:00,76.0,LANDUNG,E170,-50.0,116.0,81,3986eb,2022-01-01 09:39:23+00:00
2022-01-01 11:40:16+00:00,77.1,LANDUNG,A321,0.0,125.0,409,3c648c,2022-01-01 11:40:16+00:00
2022-01-01 13:17:08+00:00,77.1,LANDUNG,CRJ9,100.0,125.0,294,3c4dcb,2022-01-01 13:16:38+00:00
2022-01-01 13:36:13+00:00,79.8,LANDUNG,A320,150.0,128.0,41,346088,2022-01-01 13:35:59+00:00
2022-01-01 15:21:30+00:00,79.8,LANDUNG,B738,37000.0,413.0,161,3c0ca6,2022-01-01 15:21:30+00:00
2022-01-01 16:36:43+00:00,78.1,LANDUNG,A319,25.0,126.0,492,3c6597,2022-01-01 16:36:25+00:00
2022-01-01 16:54:55+00:00,78.0,LANDUNG,B38M,275.0,141.0,538,3c7438,2022-01-01 16:54:13+00:00
2022-01-01 20:52:02+00:00,79.9,LANDUNG,B738,36000.0,398.0,1079,4ba8cf,2022-01-01 20:52:02+00:00
2022-01-01 21:02:31+00:00,77.9,LANDUNG,A319,13425.0,349.0,425,3c6584,2022-01-01 21:02:31+00:00
2022-01-01 21:46:23+00:00,78.5,LANDUNG,A319,175.0,128.0,425,3c6584,2022-01-01 21:46:07+00:00
2022-01-02 06:52:01+00:00,79.2,LANDUNG,A320,375.0,125.0,515,3c66e5,2022-01-02 06:51:45+00:00
2022-01-02 07:56:27+00:00,78.6,LANDUNG,E195,425.0,127.0,855,44082b,2022-01-02 07:56:14+00:00
2022-01-02 08:47:30+00:00,78.1,LANDUNG,A319,38025.0,460.0,827,440417,2022-01-02 08:47:30+00:00
2022-01-02 08:59:32+00:00,77.2,LANDUNG,E75L,475.0,133.0,960,485779,2022-01-02 08:59:14+00:00
2022-01-02 09:22:25+00:00,77.5,LANDUNG,A319,350.0,126.0,827,440417,2022-01-02 09:22:25+00:00
2022-01-02 16:38:18+00:00,79.8,LANDUNG,E195,475.0,132.0,29,300564,2022-01-02 16:38:09+00:00
2022-01-02 18:13:08+00:00,78.9,LANDUNG,E195,8575.0,257.0,29,300564,2022-01-02 18:13:08+00:00
2022-01-02 21:00:30+00:00,76.8,LANDUNG,E75L,750.0,115.0,946,48548e,2022-01-02 20:59:47+00:00
2022-01-02 21:09:26+00:00,79.1,LANDUNG,A319,575.0,123.0,461,3c658c,2022-01-02 21:08:59+00:00
2022-01-02 22:06:18+00:00,83.0,LANDUNG,B734,725.0,129.0,1231,4caa4f,2022-01-02 22:05:38+00:00
2022-01-02 23:17:01+00:00,79.9,LANDUNG,B738,27975.0,492.0,350,3c618b,2022-01-02 23:17:01+00:00
2022-01-03 00:27:19+00:00,83.2,LANDUNG,B738,25475.0,456.0,222,3c4827,2022-01-03 00:27:19+00:00
2022-01-03 08:16:47+00:00,80.1,LANDUNG,E195,625.0,129.0,856,44082b,2022-01-03 08:16:23+00:00
2022-01-03 09:10:41+00:00,75.9,LANDUNG,E75L,550.0,120.0,949,4855d0,2022-01-03 09:10:24+00:00
2022-01-03 09:25:45+00:00,80.9,LANDUNG,B738,35000.0,436.0,117,3c0a02,2022-01-03 09:25:45+00:00
2022-01-03 09:32:57+00:00,78.9,LANDUNG,A320,33975.0,402.0,804,424576,2022-01-03 09:32:57+00:00
2022-01-03 09:45:21+00:00,78.1,LANDUNG,E170,650.0,114.0,75,3986e7,2022-01-03 09:44:58+00:00
2022-01-03 11:17:46+00:00,80.1,LANDUNG,A320,38000.0,383.0,790,405a4a,2022-01-03 11:17:46+00:00
2022-01-03 13:18:05+00:00,76.8,LANDUNG,A20N,37000.0,535.0,1142,4bb84c,2022-01-03 13:18:05+00:00
2022-01-03 13:31:40+00:00,81.7,LANDUNG,B738,37000.0,423.0,222,3c4827,2022-01-03 13:31:40+00:00
2022-01-03 16:42:12+00:00,82.6,LANDUNG,B738,13800.0,292.0,242,3c4969,2022-01-03 16:42:12+00:00
2022-01-03 16:45:36+00:00,77.6,LANDUNG,E75L,825.0,128.0,976,485876,2022-01-03 16:44:57+00:00
2022-01-03 21:22:36+00:00,76.7,LANDUNG,E170,725.0,111.0,85,3986ec,2022-01-03 21:21:58+00:00
2022-01-03 22:21:36+00:00,82.3,LANDUNG,B734,800.0,127.0,1232,4caa4f,2022-01-03 22:20:46+00:00
2022-01-03 23:19:25+00:00,80.8,START,B738,38000.0,347.0,96,39a203,2022-01-03 23:19:25+00:00
2022-01-03 23:32:06+00:00,81.3,LANDUNG,B738,25825.0,415.0,128,3c0ca2,2022-01-03 23:32:06+00:00
2022-01-04 00:05:32+00:00,80.1,LANDUNG,B738,11625.0,344.0,171,3c0caa,2022-01-04 00:05:32+00:00
2022-01-04 07:34:56+00:00,75.0,LANDUNG,BCS1,950.0,114.0,1052,4b17e2,2022-01-04 07:34:28+00:00
2022-01-04 07:48:15+00:00,79.1,LANDUNG,B738,5650.0,255.0,129,3c0ca2,2022-01-04 07:48:15+00:00
2022-01-04 08:48:45+00:00,78.6,LANDUNG,A319,925.0,121.0,487,3c6595,2022-01-04 08:48:28+00:00
2022-01-04 09:02:13+00:00,79.3,LANDUNG,E190,875.0,118.0,904,484f7c,2022-01-04 09:01:42+00:00
2022-01-04 10:07:43+00:00,79.2,LANDUNG,A21N,1000.0,130.0,1134,4bb288,2022-01-04 10:07:22+00:00
2022-01-04 11:20:38+00:00,78.2,LANDUNG,A319,800.0,120.0,389,3c6448,2022-01-04 11:20:19+00:00
2022-01-04 13:00:58+00:00,78.3,LANDUNG,A319,875.0,119.0,469,3c658d,2022-01-04 13:00:42+00:00
2022-01-04 15:23:45+00:00,80.3,LANDUNG,A332,925.0,117.0,819,43c6f4,2022-01-04 15:23:29+00:00
2022-01-04 18:11:30+00:00,78.4,LANDUNG,E195,850.0,133.0,857,44082b,2022-01-04 18:11:20+00:00
2022-01-04 21:46:41+00:00,78.5,LANDUNG,A319,850.0,112.0,418,3c6583,2022-01-04 21:46:26+00:00
2022-01-04 21:55:00+00:00,78.2,LANDUNG,B38M,950.0,134.0,541,3c7438,2022-01-04 21:54:47+00:00
2022-01-04 22:22:10+00:00,82.1,LANDUNG,B734,975.0,125.0,1226,4ca7fa,2022-01-04 22:21:46+00:00
2022-01-05 00:01:07+00:00,80.3,LANDUNG,B738,8400.0,282.0,130,3c0ca2,2022-01-05 00:01:07+00:00
2022-01-05 09:40:09+00:00,79.6,LANDUNG,E190,9925.0,307.0,56,39856d,2022-01-05 09:40:09+00:00
2022-01-05 11:30:42+00:00,79.7,LANDUNG,A320,23325.0,354.0,1067,4b9064,2022-01-05 11:30:42+00:00
2022-01-05 13:07:51+00:00,76.7,LANDUNG,CRJ9,800.0,118.0,310,3c4dd6,2022-01-05 13:07:43+00:00
2022-01-05 13:35:01+00:00,80.8,LANDUNG,B737,925.0,119.0,1377,896448,2022-01-05 13:34:21+00:00
2022-01-05 15:43:41+00:00,81.2,LANDUNG,B738,39000.0,434.0,1216,4bcdef,2022-01-05 15:43:41+00:00
2022-01-05 16:41:57+00:00,77.6,LANDUNG,E75L,850.0,112.0,948,48548e,2022-01-05 16:41:23+00:00
2022-01-05 16:44:37+00:00,81.2,LANDUNG,B738,37000.0,423.0,1262,4cac62,2022-01-05 16:44:37+00:00
2022-01-05 17:07:42+00:00,80.0,LANDUNG,A319,575.0,113.0,494,3c6597,2022-01-05 17:07:37+00:00
2022-01-05 17:16:26+00:00,79.4,LANDUNG,A320,22500.0,338.0,879,440958,2022-01-05 17:16:26+00:00
2022-01-05 18:08:26+00:00,78.4,LANDUNG,E195,575.0,121.0,844,440822,2022-01-05 18:08:26+00:00
2022-01-05 19:25:17+00:00,82.7,LANDUNG,B738,38000.0,450.0,204,3c0d02,2022-01-05 19:25:17+00:00
2022-01-05 21:04:14+00:00,79.4,LANDUNG,A319,625.0,114.0,454,3c658b,2022-01-05 21:04:02+00:00
2022-01-05 22:19:11+00:00,82.0,LANDUNG,B734,650.0,119.0,1233,4caa4f,2022-01-05 22:18:19+00:00
2022-01-06 13:10:14+00:00,77.9,LANDUNG,E190,350.0,111.0,317,3c5468,2022-01-06 13:09:54+00:00
2022-01-06 16:19:37+00:00,71.0,LANDUNG,C510,350.0,101.0,753,3e3a1d,2022-01-06 16:19:11+00:00
2022-01-06 16:28:32+00:00,79.0,LANDUNG,B738,41000.0,445.0,1318,4d232c,2022-01-06 16:28:32+00:00
2022-01-06 17:47:06+00:00,77.7,LANDUNG,E170,175.0,119.0,69,3986e2,2022-01-06 17:46:40+00:00
2022-01-06 18:14:26+00:00,79.4,LANDUNG,B738,350.0,134.0,131,3c0ca2,2022-01-06 18:13:58+00:00
2022-01-06 18:17:53+00:00,75.7,LANDUNG,E290,150.0,123.0,1033,4b028b,2022-01-06 18:17:53+00:00
2022-01-07 09:06:51+00:00,77.8,LANDUNG,A319,350.0,121.0,448,3c6589,2022-01-07 09:06:50+00:00
2022-01-07 09:33:10+00:00,73.5,LANDUNG,GLEX,525.0,113.0,822,43ea4a,2022-01-07 09:32:37+00:00
2022-01-07 10:08:01+00:00,80.3,START,B738,36000.0,444.0,1215,4bcdee,2022-01-07 10:08:01+00:00
2022-01-07 11:19:11+00:00,78.6,LANDUNG,A319,475.0,117.0,421,3c6583,2022-01-07 11:18:57+00:00
2022-01-07 13:27:39+00:00,77.2,LANDUNG,CRJ9,525.0,125.0,295,3c4dcb,2022-01-07 13:27:26+00:00
2022-01-07 15:27:11+00:00,78.7,LANDUNG,A319,500.0,122.0,479,3c6590,2022-01-07 15:26:57+00:00
2022-01-07 15:56:53+00:00,68.1,START,B38M,550.0,161.0,1207,4bcde9,2022-01-07 15:57:04+00:00
2022-01-07 16:23:04+00:00,81.7,LANDUNG,B738,34675.0,412.0,329,3c60d6,2022-01-07 16:23:04+00:00
2022-01-07 16:56:21+00:00,75.3,LANDUNG,CRJ9,450.0,126.0,269,3c4d68,2022-01-07 16:55:41+00:00
2022-01-07 18:16:36+00:00,80.6,LANDUNG,E195,425.0,121.0,858,44082b,2022-01-07 18:16:28+00:00
2022-01-07 18:44:28+00:00,74.2,LANDUNG,BCS3,600.0,120.0,1061,4b1807,2022-01-07 18:43:49+00:00
2022-01-07 21:17:00+00:00,78.3,LANDUNG,A319,500.0,118.0,475,3c658e,2022-01-07 21:16:46+00:00
2022-01-07 21:56:46+00:00,82.1,LANDUNG,B734,575.0,133.0,1235,4caa4f,2022-01-07 21:56:27+00:00
2022-01-08 00:08:52+00:00,81.9,LANDUNG,B738,36000.0,413.0,1320,4d232c,2022-01-08 00:08:52+00:00
2022-01-08 03:04:01+00:00,81.1,LANDUNG,B738,37000.0,429.0,1076,4ba8ce,2022-01-08 03:04:01+00:00
2022-01-08 07:08:42+00:00,76.7,LANDUNG,A319,500.0,109.0,482,3c6593,2022-01-08 07:08:26+00:00
2022-01-08 07:25:46+00:00,79.9,LANDUNG,A320,34000.0,414.0,15,02a1af,2022-01-08 07:25:46+00:00
2022-01-08 10:08:51+00:00,79.6,LANDUNG,E190,15425.0,367.0,897,484b30,2022-01-08 10:08:51+00:00
2022-01-08 12:02:34+00:00,78.2,LANDUNG,A319,36025.0,399.0,35,345102,2022-01-08 12:02:34+00:00
2022-01-08 13:27:49+00:00,78.3,LANDUNG,A319,32175.0,380.0,35,345102,2022-01-08 13:27:49+00:00
2022-01-08 13:50:59+00:00,78.1,LANDUNG,A319,700.0,127.0,35,345102,2022-01-08 13:50:26+00:00
2022-01-08 15:37:53+00:00,80.9,LANDUNG,B738,36000.0,431.0,1202,4bcde6,2022-01-08 15:37:53+00:00
2022-01-08 15:44:20+00:00,80.5,LANDUNG,B738,35000.0,418.0,245,3c4969,2022-01-08 15:44:20+00:00
2022-01-08 16:50:10+00:00,80.3,START,B738,1075.0,159.0,1181,4bccb0,2022-01-08 16:50:10+00:00
2022-01-08 17:20:02+00:00,76.5,LANDUNG,CRJ9,825.0,138.0,281,3c4dc3,2022-01-08 17:19:29+00:00
2022-01-08 21:20:26+00:00,77.7,LANDUNG,A319,25225.0,388.0,412,3c6581,2022-01-08 21:20:26+00:00
2022-01-08 21:59:18+00:00,78.6,LANDUNG,A319,900.0,137.0,412,3c6581,2022-01-08 21:58:40+00:00
2022-01-09 02:15:56+00:00,71.5,START,B738,1025.0,157.0,1174,4bcc66,2022-01-09 02:16:03+00:00
2022-01-09 08:46:35+00:00,77.8,LANDUNG,A319,5325.0,188.0,413,3c6581,2022-01-09 08:46:35+00:00
2022-01-09 10:18:34+00:00,78.0,LANDUNG,E170,925.0,126.0,61,3986e0,2022-01-09 10:18:27+00:00
2022-01-09 11:19:53+00:00,78.6,LANDUNG,A319,775.0,116.0,422,3c6583,2022-01-09 11:19:53+00:00
2022-01-09 13:17:40+00:00,79.6,LANDUNG,A320,800.0,118.0,514,3c66e1,2022-01-09 13:17:40+00:00
2022-01-09 13:46:37+00:00,82.6,LANDUNG,B738,29475.0,395.0,1197,4bcde2,2022-01-09 13:46:37+00:00
2022-01-09 16:23:00+00:00,77.9,LANDUNG,E170,800.0,121.0,78,3986e8,2022-01-09 16:22:28+00:00
2022-01-09 16:40:49+00:00,78.1,LANDUNG,E75L,775.0,118.0,973,485874,2022-01-09 16:40:40+00:00
2022-01-09 17:45:52+00:00,76.0,LANDUNG,BCS1,850.0,115.0,1057,4b17e6,2022-01-09 17:45:17+00:00
2022-01-09 18:07:06+00:00,81.6,LANDUNG,B738,41000.0,432.0,1194,4bcdd4,2022-01-09 18:07:06+00:00
2022-01-09 18:10:01+00:00,80.1,LANDUNG,E195,725.0,123.0,840,440821,2022-01-09 18:09:47+00:00
2022-01-09 20:54:09+00:00,79.1,LANDUNG,B738,38000.0,433.0,330,3c60d6,2022-01-09 20:54:09+00:00
2022-01-09 21:06:39+00:00,78.4,LANDUNG,A319,775.0,115.0,433,3c6585,2022-01-09 21:06:10+00:00
2022-01-09 21:23:42+00:00,80.1,LANDUNG,E170,700.0,108.0,70,3986e2,2022-01-09 21:23:17+00:00
2022-01-09 22:06:42+00:00,80.0,LANDUNG,B738,38000.0,390.0,330,3c60d6,2022-01-09 22:06:42+00:00
2022-01-09 22:09:16+00:00,78.9,LANDUNG,A320,575.0,123.0,502,3c6637,2022-01-09 22:09:04+00:00
2022-01-10 16:23:24+00:00,79.3,LANDUNG,E190,175.0,117.0,47,398566,2022-01-10 16:22:59+00:00
2022-01-10 16:31:55+00:00,79.4,LANDUNG,A320,-25.0,129.0,319,3c56f0,2022-01-10 16:31:55+00:00
2022-01-10 18:06:40+00:00,77.6,LANDUNG,E195,25.0,133.0,854,440829,2022-01-10 18:05:59+00:00
2022-01-10 21:03:45+00:00,76.7,LANDUNG,A319,200.0,128.0,470,3c658d,2022-01-10 21:03:15+00:00
